Tahun;Bulan;tgl;temp7;temp13;temp18;temp_avg;temp_24;temp_max;temp_min;CH;light_hour;light_per;pck;tgl;press;humid7;humid13;humid18;humid_avg;humid_24;ws_abg;mod_dir;max_ws;dir;rainfall_category
2021;1;21.00;25.08.00;33.04.00;29.04.00;28.06.00;28.04.00;34.02.00;24.08.00;10.05;04.00;50.00.00;TS RA  ;21.00;1010.02.00;9.183.872.886.818.200;56.096.081.358.812.700;7.814.728.097.822.250;79.00.00;80.00.00;5.208.333.333.333.330;BL;10.00;290.00.00;
2021;1;22.00;26.03.00;33.00.00;25.00.00;27.07.00;27.00.00;33.00.00;25.00.00;13.04;05.00;62.05.00;TS RA  ;22.00;1009.07.00;9.035.077.984.604.070;6.665.452.917.756.890;9.332.637.261.393.610;85.00.00;86.00.00;4.708.333.333.333.330;BL;19.00;340.00.00;
2021;1;23.00;26.08.00;31.08.00;30.02.00;28.09.00;28.06.00;32.08.00;25.00.00;31.05.00;01.08;22.05;TS RA  ;23.00;1009.06.00;858.405.878.583.193;6.468.499.570.735.710;7.315.651.806.356.880;77.00.00;80.00.00;3.625;BL;07.00;340.00.00;
2021;1;24.00.00;26.08.00;31.08.00;25.02.00;27.07.00;26.07.00;33.02.00;24.04.00;28;03.02;40.00.00;  RA  ;24.00.00;1010.02.00;8.968.028.854.656.960;652.887.647.785.575;9.172.637.247.271.510;84.00.00;85.00.00;4.916.666.666.666.660;S;20.00;280.00.00;
2021;1;25.00.00;25.01.00;31.02.00;25.04.00;26.07.00;27.01.00;32.03.00;24.00.00;08.01;01.01;13.750.000.000.000.000;  RA  ;25.00.00;1010.02.00;9.089.449.208.238.990;6.735.084.374.938.540;814.957.643.905.576;83.00.00;82.00.00;39.583.333.333.333.300;BL;10.00;170.00.00;
2021;1;26.00.00;26.00.00;33.08.00;24.06.00;27.06.00;27.05.00;34.00.00;24.05.00;TTU;05.01;6.374.999.999.999.990;TS RA  ;26.00.00;1009.02.00;8.714.137.533.712.540;5.318.351.953.493.440;9.492.967.791.935.150;81.00.00;82.00.00;5.291.666.666.666.660;BL;18.00;220.00.00;
2021;1;27.00.00;25.07.00;32.03.00;27.05.00;27.08.00;27.08.00;33.01.00;24.08.00;59.08.00;04.05;56.25.00;  RA  ;27.00.00;1007.03.00;8.784.102.857.798.890;55.746.421.853.776.400;7.797.567.990.327.890;77.00.00;79.00.00;5.041.666.666.666.660;BL;13.00;300.00.00;
2021;1;28.00.00;26.04.00;31.08.00;27.08.00;28.01.00;27.09.00;33.00.00;25.05.00;00.04;02.00;25.00.00;  RA  ;28.00.00;1007.06.00;8.494.839.962.607.820;640.834.515.854.786;8.466.016.992.712.470;80.00.00;81.00.00;07.00;BL;15.00;330.00.00;
2021;1;29.00.00;26.02.00;31.02.00;27.08.00;27.09.00;27.05.00;32.02.00;24.08.00;01.06;02.08;35.00.00;  RA  ;29.00.00;1008.01.00;8.565.084.461.599.140;62.453.593.355.798.900;7.598.400.493.412.170;77.00.00;78.00.00;6.416.666.666.666.660;BL;14.00;300.00.00;
2021;1;30.00.00;25.05.00;28.04.00;27.00.00;26.06.00;26.06.00;29.04.00;25.00.00;TTU;00.00;00.00;  RA  ;30.00.00;1009.05.00;8.857.920.168.831.170;7.351.620.176.559.180;8.289.424.882.832.310;83.00.00;84.00.00;6.541.666.666.666.660;BL;17.00;310.00.00;
2021;1;31.00.00;26.00.00;30.00.00;27.05.00;27.04.00;27.01.00;31.07.00;25.00.00;2;03.06;45.00.00;  RA  ;31.00.00;1009.06.00;86.362.386.718.915;7.304.873.549.906.260;8.530.646.977.407.000;83.00.00;85.00.00;6.208.333.333.333.330;BL;14.00;300.00.00;
2021;2;01.00;25.06.00;33.00.00;28.02.00;28.01.00;28.00.00;33.02.00;25.02.00;26.06.00;05.06;70.00.00;  RA  ;1;1010.05.00;9.019.763.410.809.560;62.555.244.415.838.900;8.188.023.772.703.260;81.00.00;83.00.00;5.958.333.333.333.330;BL;12.00;320.00.00;
2021;2;02.00;26.07.00;32.07.00;29.00.00;28.08.00;28.07.00;33.01.00;25.08.00;06.02;05.06;70.00.00;  RA  ;2;1009.07.00;8.734.023.376.449.600;6.292.847.751.674.020;7.589.543.132.864.440;78.00.00;78.00.00;5.375;B;12.00;310.00.00;
2021;2;03.00;26.05.00;31.02.00;27.07.00;28.00.00;27.05.00;31.05.00;25.01.00;-;03.02;40.00.00;TS    ;3;1010.01.00;8.805.724.609.978.000;654.974.547.784.623;8.168.649.616.661.930;81.00.00;83.00.00;5.916.666.666.666.660;BL;15.00;300.00.00;
2021;2;04.00;25.08.00;31.02.00;26.05.00;27.03.00;27.00.00;31.06.00;25.01.00;06.06;03.07;46.25.00;TS RA  ;4;1010.07.00;9.024.198.092.503.600;642.731.910.188.947;896.118.904.223.609;84.00.00;86.00.00;5.416.666.666.666.660;B;12.00;320.00.00;
2021;2;05.00;25.09.00;28.04.00;27.08.00;27.00.00;27.05.00;30.06.00;25.08.00;29;02.03;28.749.999.999.999.900;  RA  ;5;1009.07.00;8.947.175.935.574.820;833.995.240.550.639;8.027.445.638.041.880;86.00.00;82.00.00;05.05;BL;15.00;300.00.00;
2021;2;06.00;27.02.00;30.02.00;28.00.00;28.02.00;27.06.00;31.00.00;24.06.00;02.05;03.00;37.05.00;  RA  ;6;1009.05.00;8.148.757.884.906.840;6.797.172.153.416.030;8.035.841.436.359.920;78.00.00;82.00.00;5.583.333.333.333.330;B;12.00;300.00.00;
2021;2;07.00;26.06.00;32.03.00;28.06.00;28.05.00;28.06.00;33.00.00;26.00.00;03.05;05.08;72.05.00;  RA  ;7;1009.01.00;865.437.471.238.459;6.031.428.298.938.550;7.778.325.870.166.970;78.00.00;77.00.00;4.916.666.666.666.660;B;18.00;310.00.00;
2021;2;08.00;26.09.00;29.01.00;26.00.00;27.02.00;26.09.00;31.02.00;24.08.00;-;01.09;1,010416667;     ;8;1007.01.00;8.435.865.952.611.980;8.010.288.209.331.210;9.508.952.159.285.730;86.00.00;88.00.00;5.458.333.333.333.330;BL;27.00.00;300.00.00;
2021;2;09.00;26.06.00;31.02.00;28.04.00;28.02.00;28.04.00;32.02.00;26.02.00;32.06.00;03.09;48.75;  RA  ;9;1008.06.00;8.885.779.948.974.680;6.488.419.654.410.460;8.052.370.980.548.100;81.00.00;81.00.00;5.375;B;14.00;280.00.00;
2021;2;10.00;26.08.00;29.06.00;26.03.00;27.04.00;27.06.00;32.01.00;26.00.00;02.05;02.08;35.00.00;TS RA  ;10;1008.08.00;8.890.671.270.734.420;7.483.847.792.004.360;9.431.968.328.769.720;87.00.00;87.00.00;39.166.666.666.666.600;BL;17.00;280.00.00;
2021;2;11.00;26.09.00;33.04.00;29.00.00;29.01.00;29.00.00;33.06.00;26.02.00;40.05.00;06.02;77.05.00;  RA  ;11;1009.01.00;8.893.097.500.973.060;6.111.790.506.145.750;8.217.990.099.313.860;80.00.00;80.00.00;4.833.333.333.333.330;BL;17.00;280.00.00;
2021;2;12.00;26.08.00;33.08.00;27.06.00;28.08.00;28.03.00;34.02.00;26.00.00;-;05.06;70.00.00;TS    ;12;1009.05.00;8.890.671.270.734.420;5.860.995.497.880.430;8.459.440.032.172.170;80.00.00;82.00.00;4.416.666.666.666.660;BL;11.00;330.00.00;
2021;2;13.00;26.06.00;32.06.00;29.08.00;28.09.00;28.05.00;33.00.00;25.04.00;22.05;07.01;88.75;TS RA  ;13;1011.05.00;8.349.751.167.822.240;6.053.782.991.276.420;756.119.273.332.423;76.00.00;81.00.00;5.125;B;19.00;270.00.00;
2021;2;14.00;27.00.00;32.04.00;28.06.00;28.08.00;27.05.00;32.06.00;24.00.00;13.04;05.04;67.05.00;TS RA  ;14;1011.08.00;8.972.528.558.852.830;6.568.132.808.454.040;7.500.257.048.572.260;80.00.00;83.00.00;5.333.333.333.333.330;B;15.00;300.00.00;
2021;2;15.00;25.07.00;32.06.00;29.03.00;28.03.00;28.03.00;34.03.00;25.07.00;18.05;06.02;77.05.00;TS RA Lightning;15;1011.00.00;9.262.483.586.619.100;6.285.916.939.994.310;7.810.259.730.625.510;82.00.00;79.00.00;4.708.333.333.333.330;BL;10.00;290.00.00;
